model,metric,mean_diff,std_diff,n_improved,n_worsened
knn,accuracy,0.05624999999999998,0.024206145913796325,5,0
knn,f1_macro,0.05639813846210569,0.02410542244266272,5,0
linear_svc,accuracy,0.05,0.025,5,0
linear_svc,f1_macro,0.051133475385396296,0.024139743685050976,5,0
logistic_regression,accuracy,0.043750000000000025,0.03723867277441561,4,1
logistic_regression,f1_macro,0.04434854862805619,0.03740488518046767,4,1
random_forest,accuracy,0.05249999999999997,0.026368778887161232,5,0
random_forest,f1_macro,0.052709867393669826,0.02631363923895785,5,0
