condition,model,fold,feature,importance,rank
after,knn,3,mean texture,0.012280701754385908,6.0
after,knn,3,perimeter error,0.006140350877192946,19.0
after,knn,3,radius error,0.015789473684210468,3.0
after,knn,3,smoothness error,-0.0038011695906433013,29.0
after,knn,3,symmetry error,0.011111111111111056,10.0
after,knn,3,texture error,0.012865497076023342,4.0
after,knn,3,worst area,0.008771929824561356,14.0
after,knn,3,worst compactness,0.00029239766081868846,28.0
after,knn,3,worst concave points,0.011695906432748489,8.0
after,knn,3,worst concavity,0.007309941520467789,17.0
after,knn,3,worst fractal dimension,0.012280701754385902,7.0
after,knn,3,worst perimeter,0.010233918128654925,12.0
after,knn,3,worst radius,0.012280701754385918,5.0
after,knn,3,worst smoothness,0.017836257309941473,2.0
after,knn,3,worst symmetry,0.005847953216374228,21.0
after,knn,3,worst texture,0.024561403508771885,1.0
after,knn,4,area error,0.001179941002949821,14.0
after,knn,4,compactness error,0.0035398230088495223,12.0
after,knn,4,concave points error,0.0017699115044247334,13.0
after,knn,4,concavity error,0.0008849557522123686,16.0
after,knn,4,fractal dimension error,0.0005899705014748938,19.0
after,knn,4,mean area,0.009439528023598757,6.0
after,knn,4,mean compactness,0.0008849557522123463,17.0
after,knn,4,mean concave points,0.0002949852507374377,22.0
after,knn,4,mean concavity,0.0011799410029498137,15.0
after,knn,4,mean fractal dimension,0.0005899705014748791,21.0
after,knn,4,mean perimeter,0.0064896755162241245,9.0
after,knn,4,mean radius,0.007669616519173983,8.0
after,knn,4,mean smoothness,-0.001474926253687329,27.0
after,knn,4,mean symmetry,0.0005899705014748938,19.0
after,knn,4,mean texture,0.012389380530973382,2.0
after,knn,4,perimeter error,-0.0011799410029498766,26.0
after,knn,4,radius error,-0.0032448377581121143,29.0
after,knn,4,smoothness error,0.01179941002949844,3.0
after,knn,4,symmetry error,-0.0023598820058997163,28.0
after,knn,4,texture error,0.0038348082595869746,11.0
after,knn,4,worst area,0.011209439528023538,4.0
after,knn,4,worst compactness,-0.00029498525073748947,24.0
after,knn,4,worst concave points,-0.0002949852507374932,25.0
after,knn,4,worst concavity,0.0005899705014749013,18.0
after,knn,4,worst fractal dimension,0.0002949852507374229,23.0
after,knn,4,worst perimeter,0.01002949852507368,5.0
after,knn,4,worst radius,0.013864306784660689,1.0
after,knn,4,worst smoothness,-0.006194690265486746,30.0
after,knn,4,worst symmetry,0.0056047197640117456,10.0
after,knn,4,worst texture,0.009144542772861298,7.0
after,linear_svc,0,area error,0.03187134502923975,5.0
after,linear_svc,0,compactness error,-0.01374269005847956,30.0
after,linear_svc,0,concave points error,0.022222222222222213,7.0
after,linear_svc,0,concavity error,-0.002339181286549715,29.0
after,linear_svc,0,fractal dimension error,0.015204678362573084,9.0
after,linear_svc,0,mean area,-0.0011695906432748575,25.0
after,linear_svc,0,mean compactness,0.01286549707602339,10.0
after,linear_svc,0,mean concave points,0.04999999999999998,3.0
after,linear_svc,0,mean concavity,0.011111111111111105,12.0
after,linear_svc,0,mean fractal dimension,-0.0005847953216374324,23.0
after,linear_svc,0,mean perimeter,-0.0008771929824561431,24.0
after,linear_svc,0,mean radius,-0.0014619883040935717,26.0
after,linear_svc,0,mean smoothness,0.006140350877192987,15.0
after,linear_svc,0,mean symmetry,0.0017543859649122862,16.0
after,linear_svc,0,mean texture,0.0,21.0
after,linear_svc,0,perimeter error,0.00029239766081871064,20.0
after,linear_svc,0,radius error,0.05380116959064326,2.0
after,linear_svc,0,smoothness error,0.0008771929824561431,18.0
after,linear_svc,0,symmetry error,0.0,21.0
after,linear_svc,0,texture error,0.012573099415204665,11.0
after,linear_svc,0,worst area,0.0394736842105263,4.0
after,linear_svc,0,worst compactness,0.0005847953216374251,19.0
after,linear_svc,0,worst concave points,-0.0020467836257310004,28.0
after,linear_svc,0,worst concavity,0.007602339181286551,14.0
after,linear_svc,0,worst fractal dimension,0.07485380116959063,1.0
after,linear_svc,0,worst perimeter,0.010233918128654962,13.0
after,linear_svc,0,worst radius,0.030116959064327476,6.0
after,linear_svc,0,worst smoothness,-0.0017543859649122862,27.0
after,linear_svc,0,worst symmetry,0.0017543859649122788,17.0
after,linear_svc,0,worst texture,0.021052631578947358,8.0
after,linear_svc,1,area error,0.02368421052631577,3.0
after,linear_svc,1,compactness error,0.0035087719298245723,20.0
after,linear_svc,1,concave points error,0.008771929824561398,12.0
after,linear_svc,1,concavity error,0.0,27.0
after,linear_svc,1,fractal dimension error,0.01900584795321635,7.0
after,linear_svc,1,mean area,0.0026315789473684292,24.0
after,linear_svc,1,mean compactness,0.009941520467836251,10.0
after,linear_svc,1,mean concave points,0.021052631578947347,6.0
after,linear_svc,1,mean concavity,0.01520467836257308,8.0
after,linear_svc,1,mean fractal dimension,0.0,27.0
after,linear_svc,1,mean perimeter,0.0032163742690058507,21.0
after,linear_svc,1,mean radius,0.0032163742690058507,21.0
after,linear_svc,1,mean smoothness,0.0046783625730994075,16.0
after,linear_svc,1,mean symmetry,0.0032163742690058434,23.0
after,linear_svc,1,mean texture,0.005263157894736847,15.0
after,linear_svc,1,perimeter error,0.0,27.0
after,linear_svc,1,radius error,0.027485380116959047,2.0
after,linear_svc,1,smoothness error,0.0038011695906432757,19.0
after,linear_svc,1,symmetry error,-0.0011695906432748575,30.0
after,linear_svc,1,texture error,0.0002923976608187144,26.0
after,linear_svc,1,worst area,0.037134502923976596,1.0
after,linear_svc,1,worst compactness,0.007894736842105262,14.0
after,linear_svc,1,worst concave points,0.013157894736842094,9.0
after,linear_svc,1,worst concavity,0.004385964912280693,18.0
after,linear_svc,1,worst fractal dimension,0.008187134502923958,13.0
after,linear_svc,1,worst perimeter,0.009941520467836244,11.0
after,linear_svc,1,worst radius,0.021637426900584785,5.0
after,linear_svc,1,worst smoothness,0.002046783625730997,25.0
after,linear_svc,1,worst symmetry,0.022222222222222206,4.0
after,linear_svc,1,worst texture,0.004385964912280701,17.0
after,linear_svc,2,area error,0.019298245614035068,11.0
after,linear_svc,2,compactness error,0.0029239766081871252,20.0
after,linear_svc,2,concave points error,0.0055555555555555506,17.0
after,linear_svc,2,concavity error,-0.0002923976608187144,27.0
after,linear_svc,2,fractal dimension error,-0.00467836257309943,29.0
after,linear_svc,2,mean area,0.0005847953216374288,23.0
after,linear_svc,2,mean compactness,0.009941520467836248,16.0
after,linear_svc,2,mean concave points,0.02514619883040934,5.0
after,linear_svc,2,mean concavity,0.05760233918128654,2.0
after,linear_svc,2,mean fractal dimension,0.0,24.0
after,linear_svc,2,mean perimeter,0.0,24.0
after,linear_svc,2,mean radius,0.0026315789473684292,21.0
after,linear_svc,2,mean smoothness,-0.002631578947368433,28.0
after,linear_svc,2,mean symmetry,0.0035087719298245684,19.0
after,linear_svc,2,mean texture,0.0,24.0
after,linear_svc,2,perimeter error,0.01959064327485379,10.0
after,linear_svc,2,radius error,0.022514619883040928,7.0
after,linear_svc,2,smoothness error,0.017836257309941504,12.0
after,linear_svc,2,symmetry error,0.003801169590643279,18.0
after,linear_svc,2,texture error,0.016081871345029232,13.0
after,linear_svc,2,worst area,0.024853801169590625,6.0
