experiment,condition,model,fold,repeat,feature,importance,baseline_accuracy,scoring,seed
A,before,logistic_regression,0,1,mean perimeter,0.20175438596491224,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,2,mean perimeter,0.1578947368421053,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,3,mean perimeter,0.16666666666666663,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,4,mean perimeter,0.17543859649122806,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,5,mean perimeter,0.20175438596491224,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,6,mean perimeter,0.16666666666666663,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,7,mean perimeter,0.16666666666666663,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,8,mean perimeter,0.21052631578947367,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,9,mean perimeter,0.21052631578947367,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,10,mean perimeter,0.1578947368421053,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,11,mean perimeter,0.20175438596491224,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,12,mean perimeter,0.16666666666666663,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,13,mean perimeter,0.19298245614035092,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,14,mean perimeter,0.14035087719298245,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,15,mean perimeter,0.17543859649122806,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,16,mean perimeter,0.1842105263157895,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,17,mean perimeter,0.22807017543859653,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,18,mean perimeter,0.14035087719298245,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,19,mean perimeter,0.1228070175438597,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,20,mean perimeter,0.21052631578947367,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,21,mean perimeter,0.17543859649122806,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,22,mean perimeter,0.19298245614035092,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,23,mean perimeter,0.14912280701754388,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,24,mean perimeter,0.21052631578947367,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,25,mean perimeter,0.1842105263157895,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,26,mean perimeter,0.19298245614035092,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,27,mean perimeter,0.1842105263157895,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,28,mean perimeter,0.16666666666666663,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,29,mean perimeter,0.13157894736842102,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,0,mean area,0.07017543859649122,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,1,mean area,0.04385964912280704,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,2,mean area,0.0964912280701754,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,3,mean area,0.08771929824561409,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,4,mean area,0.14035087719298245,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,5,mean area,0.11403508771929827,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,6,mean area,0.11403508771929827,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,7,mean area,0.07017543859649122,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,8,mean area,0.04385964912280704,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,9,mean area,0.07894736842105265,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,10,mean area,0.10526315789473684,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,11,mean area,0.0964912280701754,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,12,mean area,0.04385964912280704,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,13,mean area,0.08771929824561409,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,14,mean area,0.11403508771929827,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,15,mean area,0.0964912280701754,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,16,mean area,0.052631578947368474,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,17,mean area,0.07017543859649122,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,18,mean area,0.08771929824561409,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,19,mean area,0.10526315789473684,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,20,mean area,0.06140350877192979,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,21,mean area,0.11403508771929827,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,22,mean area,0.08771929824561409,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,23,mean area,0.08771929824561409,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,24,mean area,0.0964912280701754,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,25,mean area,0.1228070175438597,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,26,mean area,0.0964912280701754,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,27,mean area,0.11403508771929827,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,28,mean area,0.06140350877192979,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,29,mean area,0.06140350877192979,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,0,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,1,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,2,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,3,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,4,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,5,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,6,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,7,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,8,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,9,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,10,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,11,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,12,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,13,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,14,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,15,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,16,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,17,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,18,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,19,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,20,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,21,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,22,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,23,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,24,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,25,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,26,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,27,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,28,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,29,mean smoothness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,0,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,1,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,2,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,3,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,4,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,5,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,6,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,7,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,8,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,9,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,10,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,11,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,12,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,13,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,14,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,15,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,16,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,17,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,18,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,19,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,20,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,21,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,22,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,23,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,24,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,25,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,26,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,27,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,28,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,29,mean compactness,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,0,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,1,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,2,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,3,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,4,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,5,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,6,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,7,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,8,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,9,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,10,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,11,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,12,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,13,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,14,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,15,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,16,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,17,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,18,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,19,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,20,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,21,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,22,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,23,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,24,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,25,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,26,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,27,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,28,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,29,mean concavity,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,0,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,1,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,2,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,3,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,4,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,5,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,6,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,7,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,8,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,9,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,10,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,11,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,12,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,13,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,14,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,15,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,16,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,17,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,18,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,19,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,20,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,21,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,22,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,23,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,24,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,25,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,26,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,27,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,28,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,29,mean concave points,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,0,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,1,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,2,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,3,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,4,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,5,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,6,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,7,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,8,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,9,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,10,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,11,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,12,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,13,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,14,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,15,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,16,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,17,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,18,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,19,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,20,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,21,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,22,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,23,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,24,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,25,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,26,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,27,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,28,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,29,mean symmetry,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,0,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,1,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,2,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,3,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,4,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,5,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,6,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,7,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,8,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,9,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,10,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,11,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,12,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,13,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,14,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,15,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,16,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,17,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,18,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,19,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,20,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,21,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,22,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,23,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,24,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,25,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,26,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
A,before,logistic_regression,0,27,mean fractal dimension,0.0,0.9649122807017544,accuracy,42
