condition,model,metric,cv_mean,cv_std,n_folds
after,knn,accuracy_complete_rows,0.8023559478705626,0.053156657587782735,5
after,knn,accuracy_incomplete_rows,0.8254942551183152,0.04761463760557587,5
after,knn,accuracy_predicted,0.8074785762335118,0.0419972624891523,5
after,knn,correct_fraction_all,0.8074785762335118,0.0419972624891523,5
after,knn,coverage,1.0,0.0,5
after,knn,f1_macro_complete_rows,0.7927062871172982,0.05411398936714379,5
after,knn,f1_macro_incomplete_rows,0.7806734973577141,0.0547698226568662,5
after,knn,f1_macro_predicted,0.7931807973272729,0.04392163208036004,5
after,knn,unavailable_rate,0.0,0.0,5
after,linear_svc,accuracy_complete_rows,0.7833745396853846,0.03269836198400531,5
after,linear_svc,accuracy_incomplete_rows,0.7992142694398334,0.05734324560835203,5
after,linear_svc,accuracy_predicted,0.7868766634494457,0.02197617793852261,5
after,linear_svc,correct_fraction_all,0.7868766634494457,0.02197617793852261,5
after,linear_svc,coverage,1.0,0.0,5
after,linear_svc,f1_macro_complete_rows,0.7726097231403128,0.03492950136778676,5
after,linear_svc,f1_macro_incomplete_rows,0.7541984731285941,0.06918037318391396,5
after,linear_svc,f1_macro_predicted,0.7714250838604478,0.02535714249245242,5
after,linear_svc,unavailable_rate,0.0,0.0,5
after,logistic_regression,accuracy_complete_rows,0.7862542380475857,0.020614306640069777,5
after,logistic_regression,accuracy_incomplete_rows,0.7927069296618169,0.05332882679464285,5
after,logistic_regression,accuracy_predicted,0.7876312479892369,0.012096444409794307,5
after,logistic_regression,correct_fraction_all,0.7876312479892369,0.012096444409794307,5
after,logistic_regression,coverage,1.0,0.0,5
after,logistic_regression,f1_macro_complete_rows,0.7754342274378938,0.023437003474456836,5
after,logistic_regression,f1_macro_incomplete_rows,0.7436172375641444,0.06695752851163313,5
after,logistic_regression,f1_macro_predicted,0.7719635099172548,0.015372821842700515,5
after,logistic_regression,unavailable_rate,0.0,0.0,5
after,random_forest,accuracy_complete_rows,0.7966017289076749,0.03341931221618177,5
after,random_forest,accuracy_incomplete_rows,0.7990240210916902,0.05785748604473619,5
after,random_forest,accuracy_predicted,0.7975461378725395,0.027212173607390835,5
after,random_forest,correct_fraction_all,0.7975461378725395,0.027212173607390835,5
after,random_forest,coverage,1.0,0.0,5
after,random_forest,f1_macro_complete_rows,0.7856661621440418,0.034840646045223224,5
after,random_forest,f1_macro_incomplete_rows,0.744716077878454,0.07162560611983439,5
after,random_forest,f1_macro_predicted,0.781163915753938,0.030685690940306178,5
after,random_forest,unavailable_rate,0.0,0.0,5
before,knn,accuracy_complete_rows,0.78889947674737,0.04804939463186162,5
before,knn,accuracy_predicted,0.78889947674737,0.04804939463186162,5
before,knn,correct_fraction_all,0.6287180837062385,0.04259961855450024,5
before,knn,coverage,0.7967827790939136,0.01503138059711396,5
before,knn,f1_macro_complete_rows,0.7785451521983576,0.04891338695527443,5
before,knn,f1_macro_predicted,0.7785451521983576,0.04891338695527443,5
before,knn,unavailable_rate,0.20321722090608638,0.015031380597113994,5
before,linear_svc,accuracy_complete_rows,0.7795537499771813,0.025858974921439487,5
before,linear_svc,accuracy_predicted,0.7795537499771813,0.025858974921439487,5
before,linear_svc,correct_fraction_all,0.6210991196513702,0.022350104652867787,5
before,linear_svc,coverage,0.7967827790939136,0.01503138059711396,5
before,linear_svc,f1_macro_complete_rows,0.7691203027873372,0.027554151771238863,5
before,linear_svc,f1_macro_predicted,0.7691203027873372,0.027554151771238863,5
before,linear_svc,unavailable_rate,0.20321722090608638,0.015031380597113994,5
before,logistic_regression,accuracy_complete_rows,0.7852597759290514,0.014843605454099481,5
before,logistic_regression,accuracy_predicted,0.7852597759290514,0.014843605454099481,5
before,logistic_regression,correct_fraction_all,0.6256734228305694,0.016264756377953382,5
before,logistic_regression,coverage,0.7967827790939136,0.01503138059711396,5
before,logistic_regression,f1_macro_complete_rows,0.7749017148184203,0.016323919862842644,5
before,logistic_regression,f1_macro_predicted,0.7749017148184203,0.016323919862842644,5
before,logistic_regression,unavailable_rate,0.20321722090608638,0.015031380597113994,5
before,random_forest,accuracy_complete_rows,0.7879594475062939,0.03995495090141337,5
before,random_forest,accuracy_predicted,0.7879594475062939,0.03995495090141337,5
before,random_forest,correct_fraction_all,0.6279459506887777,0.03645575601270001,5
before,random_forest,coverage,0.7967827790939136,0.01503138059711396,5
before,random_forest,f1_macro_complete_rows,0.7756133074672811,0.043791540727374914,5
before,random_forest,f1_macro_predicted,0.7756133074672811,0.043791540727374914,5
before,random_forest,unavailable_rate,0.20321722090608638,0.015031380597113994,5
