experiment,condition,model,fold,seed,n_train_total,n_train_used,n_test_total,n_predicted,n_abstained,metric,value
B_coverage,after,random_forest,4,42,1048,1048,261,261,0,accuracy_incomplete_rows,0.7678571428571429
B_coverage,after,random_forest,4,42,1048,1048,261,261,0,f1_macro_incomplete_rows,0.6652873563218391
B_coverage,after,knn,4,42,1048,1048,261,261,0,coverage,1.0
B_coverage,after,knn,4,42,1048,1048,261,261,0,unavailable_rate,0.0
B_coverage,after,knn,4,42,1048,1048,261,261,0,accuracy_predicted,0.7969348659003831
B_coverage,after,knn,4,42,1048,1048,261,261,0,f1_macro_predicted,0.7781217419199615
B_coverage,after,knn,4,42,1048,1048,261,261,0,correct_fraction_all,0.7969348659003831
B_coverage,after,knn,4,42,1048,1048,261,261,0,accuracy_complete_rows,0.8
B_coverage,after,knn,4,42,1048,1048,261,261,0,f1_macro_complete_rows,0.7862465349304443
B_coverage,after,knn,4,42,1048,1048,261,261,0,accuracy_incomplete_rows,0.7857142857142857
B_coverage,after,knn,4,42,1048,1048,261,261,0,f1_macro_incomplete_rows,0.7375
