feature,importance
worst area,0.13935694286788813
worst concave points,0.13222508566399135
mean concave points,0.10704565721708294
worst radius,0.08284828183729644
worst perimeter,0.08084969717184524
mean perimeter,0.06799034063826767
mean concavity,0.06691736463414073
mean area,0.0604616365111208
worst concavity,0.03733871230020869
mean radius,0.034843233980943286
