model,metric,mean_diff,std_diff,n_improved,n_worsened
knn,accuracy,0.02808570097810894,0.01998437591793734,5,0
knn,f1_macro,0.030296903906089835,0.021510820924841835,5,0
linear_svc,accuracy,0.015820524763235522,0.02000660202521135,3,1
linear_svc,f1_macro,0.017284957355434404,0.021869683233773494,3,2
logistic_regression,accuracy,0.019329296693060095,0.01686925064839756,4,0
logistic_regression,f1_macro,0.02064144002491648,0.018047072326618608,4,0
random_forest,accuracy,0.0,0.0,0,0
random_forest,f1_macro,0.0,0.0,0,0
