feature,importance
記事,0.008086220968333667
映画,0.007777167040219273
』,0.006770562214033367
関連,0.0067187206885380105
『,0.006672015531397455
Sports,0.006552171265104548
】,0.006265777466818215
掲示板,0.005876176321750325
【,0.0057908590256143385
独女,0.005758379462230023
