model,outer_fold,metric,default_0.5,inner_cv_tuned,tuned_minus_default
linear_svc,0,accuracy,0.9425,0.9275,-0.015000000000000013
linear_svc,0,average_precision,0.528109910894964,0.528109910894964,0.0
linear_svc,0,balanced_accuracy,0.6511292871084673,0.7066177154010596,0.05548842829259226
linear_svc,0,f1,0.43902439024390244,0.4727272727272727,0.03370288248337028
linear_svc,0,mcc,0.4594709912339836,0.4346713635578327,-0.024799627676150904
linear_svc,0,precision,0.75,0.5,-0.25
linear_svc,0,recall,0.3103448275862069,0.4482758620689655,0.13793103448275862
linear_svc,0,roc_auc,0.8575146389069616,0.8575146389069616,0.0
linear_svc,1,accuracy,0.96,0.97,0.010000000000000009
linear_svc,1,average_precision,0.8053617414874576,0.8053617414874576,0.0
linear_svc,1,balanced_accuracy,0.7400316014499488,0.8407844595222604,0.1007528580723116
linear_svc,1,f1,0.6363636363636364,0.7692307692307693,0.13286713286713292
linear_svc,1,mcc,0.65525203412221,0.759208633515613,0.10395659939340296
linear_svc,1,precision,0.9333333333333333,0.8695652173913043,-0.06376811594202902
linear_svc,1,recall,0.4827586206896552,0.6896551724137931,0.20689655172413796
linear_svc,1,roc_auc,0.9349381912817176,0.9349381912817176,0.0
linear_svc,2,accuracy,0.9525,0.935,-0.01749999999999996
linear_svc,2,average_precision,0.6537451147891166,0.6537451147891166,0.0
linear_svc,2,balanced_accuracy,0.713963963963964,0.7657657657657657,0.05180180180180172
linear_svc,2,f1,0.5777777777777777,0.5666666666666667,-0.011111111111111072
linear_svc,2,mcc,0.5932751064854752,0.5315315315315315,-0.06174357495394367
linear_svc,2,precision,0.8666666666666667,0.5666666666666667,-0.30000000000000004
linear_svc,2,recall,0.43333333333333335,0.5666666666666667,0.1333333333333333
linear_svc,2,roc_auc,0.8891891891891892,0.8891891891891892,0.0
linear_svc,3,accuracy,0.9475,0.9375,-0.010000000000000009
linear_svc,3,average_precision,0.6304055741216401,0.6304055741216401,0.0
linear_svc,3,balanced_accuracy,0.65,0.7364864864864865,0.08648648648648649
linear_svc,3,f1,0.46153846153846156,0.5454545454545454,0.08391608391608385
linear_svc,3,mcc,0.5328109120792203,0.5146502354656655,-0.018160676613554805
linear_svc,3,precision,1.0,0.6,-0.4
linear_svc,3,recall,0.3,0.5,0.2
linear_svc,3,roc_auc,0.8914414414414414,0.8914414414414414,0.0
linear_svc,4,accuracy,0.945,0.9425,-0.0024999999999999467
linear_svc,4,average_precision,0.6341297790826427,0.6341297790826427,0.0
linear_svc,4,balanced_accuracy,0.6945945945945946,0.7391891891891892,0.04459459459459458
linear_svc,4,f1,0.5217391304347826,0.5660377358490566,0.044298605414273995
linear_svc,4,mcc,0.5231143743471868,0.5412506595474248,0.018136285200238023
linear_svc,4,precision,0.75,0.6521739130434783,-0.09782608695652173
linear_svc,4,recall,0.4,0.5,0.09999999999999998
