experiment,condition,model,outer_fold,threshold_mode,threshold,seed,metric,value
C_threshold,c0,logistic_regression,2,default_0.5,0.5,42,roc_auc,0.8904504504504505
C_threshold,c0,logistic_regression,2,inner_cv_tuned,0.35,42,accuracy,0.94
C_threshold,c0,logistic_regression,2,inner_cv_tuned,0.35,42,precision,0.6153846153846154
C_threshold,c0,logistic_regression,2,inner_cv_tuned,0.35,42,recall,0.5333333333333333
C_threshold,c0,logistic_regression,2,inner_cv_tuned,0.35,42,f1,0.5714285714285714
C_threshold,c0,logistic_regression,2,inner_cv_tuned,0.35,42,balanced_accuracy,0.7531531531531532
C_threshold,c0,logistic_regression,2,inner_cv_tuned,0.35,42,mcc,0.5409440535684419
C_threshold,c0,logistic_regression,2,inner_cv_tuned,0.35,42,average_precision,0.6545904278690216
C_threshold,c0,logistic_regression,2,inner_cv_tuned,0.35,42,roc_auc,0.8904504504504505
C_threshold,c0,linear_svc,2,default_0.5,0.5,42,accuracy,0.9525
C_threshold,c0,linear_svc,2,default_0.5,0.5,42,precision,0.8666666666666667
C_threshold,c0,linear_svc,2,default_0.5,0.5,42,recall,0.43333333333333335
C_threshold,c0,linear_svc,2,default_0.5,0.5,42,f1,0.5777777777777777
C_threshold,c0,linear_svc,2,default_0.5,0.5,42,balanced_accuracy,0.713963963963964
C_threshold,c0,linear_svc,2,default_0.5,0.5,42,mcc,0.5932751064854752
C_threshold,c0,linear_svc,2,default_0.5,0.5,42,average_precision,0.6537451147891166
C_threshold,c0,linear_svc,2,default_0.5,0.5,42,roc_auc,0.8891891891891892
C_threshold,c0,linear_svc,2,inner_cv_tuned,0.28,42,accuracy,0.935
C_threshold,c0,linear_svc,2,inner_cv_tuned,0.28,42,precision,0.5666666666666667
C_threshold,c0,linear_svc,2,inner_cv_tuned,0.28,42,recall,0.5666666666666667
C_threshold,c0,linear_svc,2,inner_cv_tuned,0.28,42,f1,0.5666666666666667
C_threshold,c0,linear_svc,2,inner_cv_tuned,0.28,42,balanced_accuracy,0.7657657657657657
C_threshold,c0,linear_svc,2,inner_cv_tuned,0.28,42,mcc,0.5315315315315315
C_threshold,c0,linear_svc,2,inner_cv_tuned,0.28,42,average_precision,0.6537451147891166
C_threshold,c0,linear_svc,2,inner_cv_tuned,0.28,42,roc_auc,0.8891891891891892
C_threshold,c0,logistic_regression,3,default_0.5,0.5,42,accuracy,0.9475
C_threshold,c0,logistic_regression,3,default_0.5,0.5,42,precision,1.0
C_threshold,c0,logistic_regression,3,default_0.5,0.5,42,recall,0.3
C_threshold,c0,logistic_regression,3,default_0.5,0.5,42,f1,0.46153846153846156
C_threshold,c0,logistic_regression,3,default_0.5,0.5,42,balanced_accuracy,0.65
C_threshold,c0,logistic_regression,3,default_0.5,0.5,42,mcc,0.5328109120792203
C_threshold,c0,logistic_regression,3,default_0.5,0.5,42,average_precision,0.6168545939443565
C_threshold,c0,logistic_regression,3,default_0.5,0.5,42,roc_auc,0.8900900900900901
C_threshold,c0,logistic_regression,3,inner_cv_tuned,0.32,42,accuracy,0.9475
C_threshold,c0,logistic_regression,3,inner_cv_tuned,0.32,42,precision,0.7368421052631579
C_threshold,c0,logistic_regression,3,inner_cv_tuned,0.32,42,recall,0.4666666666666667
C_threshold,c0,logistic_regression,3,inner_cv_tuned,0.32,42,f1,0.5714285714285714
C_threshold,c0,logistic_regression,3,inner_cv_tuned,0.32,42,balanced_accuracy,0.7265765765765766
C_threshold,c0,logistic_regression,3,inner_cv_tuned,0.32,42,mcc,0.5611348052832623
C_threshold,c0,logistic_regression,3,inner_cv_tuned,0.32,42,average_precision,0.6168545939443565
C_threshold,c0,logistic_regression,3,inner_cv_tuned,0.32,42,roc_auc,0.8900900900900901
C_threshold,c0,linear_svc,3,default_0.5,0.5,42,accuracy,0.9475
C_threshold,c0,linear_svc,3,default_0.5,0.5,42,precision,1.0
C_threshold,c0,linear_svc,3,default_0.5,0.5,42,recall,0.3
C_threshold,c0,linear_svc,3,default_0.5,0.5,42,f1,0.46153846153846156
C_threshold,c0,linear_svc,3,default_0.5,0.5,42,balanced_accuracy,0.65
C_threshold,c0,linear_svc,3,default_0.5,0.5,42,mcc,0.5328109120792203
