experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value,cleaning,analyzer
D_ablation,D0,knn,0,42,5888,1473,1.3728151989998878,0.7636973200005741,f1_macro,0.7961429664879666,none,mecab_ipadic
D_ablation,D0,knn,0,42,5888,1473,1.3728151989998878,0.7636973200005741,f1_weighted,0.7992582081140174,none,mecab_ipadic
D_ablation,D0,knn,1,42,5889,1472,1.3703194059999078,0.7416701379988808,accuracy,0.7927989130434783,none,mecab_ipadic
D_ablation,D0,knn,1,42,5889,1472,1.3703194059999078,0.7416701379988808,f1_macro,0.7824645759128965,none,mecab_ipadic
D_ablation,D0,knn,1,42,5889,1472,1.3703194059999078,0.7416701379988808,f1_weighted,0.7890386822003584,none,mecab_ipadic
D_ablation,D0,knn,2,42,5889,1472,1.2407043929997599,0.6977034829997137,accuracy,0.7989130434782609,none,mecab_ipadic
D_ablation,D0,knn,2,42,5889,1472,1.2407043929997599,0.6977034829997137,f1_macro,0.7911112103714859,none,mecab_ipadic
D_ablation,D0,knn,2,42,5889,1472,1.2407043929997599,0.6977034829997137,f1_weighted,0.7954418272624181,none,mecab_ipadic
D_ablation,D0,knn,3,42,5889,1472,1.1840087960008532,0.6925071089990524,accuracy,0.8036684782608695,none,mecab_ipadic
D_ablation,D0,knn,3,42,5889,1472,1.1840087960008532,0.6925071089990524,f1_macro,0.7972487416362952,none,mecab_ipadic
D_ablation,D0,knn,3,42,5889,1472,1.1840087960008532,0.6925071089990524,f1_weighted,0.8005480462176621,none,mecab_ipadic
D_ablation,D0,knn,4,42,5889,1472,1.271008203000747,0.6919804080007452,accuracy,0.7975543478260869,none,mecab_ipadic
D_ablation,D0,knn,4,42,5889,1472,1.271008203000747,0.6919804080007452,f1_macro,0.7916332300536857,none,mecab_ipadic
D_ablation,D0,knn,4,42,5889,1472,1.271008203000747,0.6919804080007452,f1_weighted,0.7950044348712099,none,mecab_ipadic
D_ablation,D1,logistic_regression,0,42,5888,1473,8.910326756998984,0.32824768600039533,accuracy,0.9151391717583164,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,0,42,5888,1473,8.910326756998984,0.32824768600039533,f1_macro,0.9090089823150342,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,0,42,5888,1473,8.910326756998984,0.32824768600039533,f1_weighted,0.9141911567368488,neologdn,mecab_ipadic
D_ablation,D1,logistic_regression,1,42,5889,1472,6.715533177000907,0.33743609100019967,accuracy,0.9150815217391305,neologdn,mecab_ipadic
